contaminante,estacion_a,estacion_b,corr_pearson
NO2,ACOPI,MOVIL,
NO2,ACOPI,PALMIRA,
NO2,MOVIL,PALMIRA,0.365
SO2,ACOPI,BASE AÉREA,-0.096
SO2,ACOPI,CAÑAVERALEJO,
SO2,ACOPI,LA ERMITA,-0.067
SO2,ACOPI,LA FLORA,
SO2,ACOPI,MOVIL,
SO2,ACOPI,PALMIRA,-0.013
SO2,ACOPI,TRANSITORIA-NAVARRO,
SO2,BASE AÉREA,CAÑAVERALEJO,0.742
SO2,BASE AÉREA,LA ERMITA,0.432
SO2,BASE AÉREA,LA FLORA,-0.078
SO2,BASE AÉREA,MOVIL,
SO2,BASE AÉREA,PALMIRA,
SO2,BASE AÉREA,TRANSITORIA-NAVARRO,0.0
SO2,CAÑAVERALEJO,LA ERMITA,0.148
SO2,CAÑAVERALEJO,LA FLORA,0.021
SO2,CAÑAVERALEJO,MOVIL,
SO2,CAÑAVERALEJO,PALMIRA,
SO2,CAÑAVERALEJO,TRANSITORIA-NAVARRO,-0.024
SO2,LA ERMITA,LA FLORA,0.037
SO2,LA ERMITA,MOVIL,0.127
SO2,LA ERMITA,PALMIRA,
SO2,LA ERMITA,TRANSITORIA-NAVARRO,-0.067
SO2,LA FLORA,MOVIL,0.013
SO2,LA FLORA,PALMIRA,
SO2,LA FLORA,TRANSITORIA-NAVARRO,0.012
SO2,MOVIL,PALMIRA,
SO2,MOVIL,TRANSITORIA-NAVARRO,0.095
SO2,PALMIRA,TRANSITORIA-NAVARRO,
O3,ACOPI,BASE AÉREA,0.087
O3,ACOPI,COMPARTIR,0.283
O3,ACOPI,ERA OBRERO,0.148
O3,ACOPI,LA FLORA,0.578
O3,ACOPI,MOVIL,0.682
O3,ACOPI,PALMIRA,0.751
O3,ACOPI,PANCE,0.164
O3,ACOPI,TRANSITORIA-NAVARRO,0.381
O3,ACOPI,UNIVERSIDAD DEL VALLE,0.023
O3,BASE AÉREA,COMPARTIR,0.873
O3,BASE AÉREA,ERA OBRERO,0.821
O3,BASE AÉREA,LA FLORA,0.5
O3,BASE AÉREA,MOVIL,0.616
O3,BASE AÉREA,PALMIRA,0.454
O3,BASE AÉREA,PANCE,0.895
O3,BASE AÉREA,TRANSITORIA-NAVARRO,0.35
O3,BASE AÉREA,UNIVERSIDAD DEL VALLE,0.691
O3,COMPARTIR,ERA OBRERO,0.798
O3,COMPARTIR,LA FLORA,0.454
O3,COMPARTIR,MOVIL,0.677
O3,COMPARTIR,PALMIRA,0.529
O3,COMPARTIR,PANCE,0.874
O3,COMPARTIR,TRANSITORIA-NAVARRO,0.371
O3,COMPARTIR,UNIVERSIDAD DEL VALLE,0.771
O3,ERA OBRERO,LA FLORA,0.625
O3,ERA OBRERO,MOVIL,0.466
O3,ERA OBRERO,PALMIRA,0.368
O3,ERA OBRERO,PANCE,0.837
O3,ERA OBRERO,TRANSITORIA-NAVARRO,0.456
O3,ERA OBRERO,UNIVERSIDAD DEL VALLE,0.416
O3,LA FLORA,MOVIL,0.765
O3,LA FLORA,PALMIRA,0.737
O3,LA FLORA,PANCE,0.519
O3,LA FLORA,TRANSITORIA-NAVARRO,0.779
O3,LA FLORA,UNIVERSIDAD DEL VALLE,0.077
O3,MOVIL,PALMIRA,0.903
O3,MOVIL,PANCE,0.606
O3,MOVIL,TRANSITORIA-NAVARRO,0.52
O3,MOVIL,UNIVERSIDAD DEL VALLE,0.249
O3,PALMIRA,PANCE,0.381
O3,PALMIRA,TRANSITORIA-NAVARRO,0.611
O3,PALMIRA,UNIVERSIDAD DEL VALLE,0.242
O3,PANCE,TRANSITORIA-NAVARRO,0.291
O3,PANCE,UNIVERSIDAD DEL VALLE,0.572
O3,TRANSITORIA-NAVARRO,UNIVERSIDAD DEL VALLE,0.229
