contaminante,estacion,n,adf_p,kpss_p,diagnostico
NO2,ACOPI,7896,0.0001,0.01,Incierto
NO2,ESCUELA_ARGENTINA,11485,0.0,0.01,Incierto
NO2,LA_FLORA,21284,0.0,0.01,Incierto
NO2,MOVIL,6671,0.0,0.01,Incierto
NO2,UNIVALLE,41092,0.0,0.01,Incierto
SO2,ACOPI,14854,0.0,0.01,Incierto
SO2,BASE AÉREA,8470,0.089,0.01,No estacionaria
SO2,CAÑAVERALEJO,19615,0.0,0.01,Incierto
SO2,ESCUELA_ARGENTINA,15035,0.0,0.01,Incierto
SO2,LA ERMITA,8813,0.0,0.01,Incierto
SO2,LA FLORA,5438,0.0,0.0369,Incierto
SO2,LA_ERMITA,21523,0.0,0.01,Incierto
SO2,LA_FLORA,12611,0.0,0.01,Incierto
SO2,MOVIL,5992,0.0,0.01,Incierto
SO2,TRANSITORIA-NAVARRO,3801,0.0,0.01,Incierto
O3,ACOPI,19968,0.0,0.01,Incierto
O3,BASE AÉREA,7534,0.0,0.01,Incierto
O3,COMPARTIR,44382,0.0,0.01,Incierto
O3,ERA OBRERO,9612,0.0,0.01,Incierto
O3,ESCUELA_ARGENTINA,26769,0.0,0.01,Incierto
O3,LA FLORA,7986,0.0,0.0171,Incierto
O3,LA_FLORA,34787,0.0,0.01,Incierto
O3,MOVIL,17248,0.0,0.01,Incierto
O3,PANCE,44593,0.0,0.01,Incierto
O3,TRANSITORIA-NAVARRO,5158,0.0,0.01,Incierto
O3,UNIVALLE,48319,0.0,0.01,Incierto
O3,UNIVERSIDAD DEL VALLE,7445,0.0003,0.01,Incierto
