estacion,autoridad,contaminante,lat,lon,alt,unidad,n_total,n_validos,pct_missing,n_post_s5p,fecha_min,fecha_max,dias_cobertura,media,mediana,p90,p99,max,in_bbox_actual,in_bbox_propuesto
ACOPI,CVC,NO2,3.501678,-76.507554,950,ug/m3,6246,6246,0.0,6246,2020-11-01 00:00:00,2024-04-17 23:00:00,1263,10.07,8.7,18.9,36.71,163.9,True,True
MOVIL,CVC,NO2,3.510503,-76.308111,1050,ug/m3,6170,6170,0.0,6170,2021-10-07 10:00:00,2022-12-31 23:00:00,450,6.82,6.38,10.94,15.1,16.6,False,False
PALMIRA,CVC,NO2,3.5375,-76.300833333333,965,ug/m3,1080,1080,0.0,1080,2022-01-01 00:00:00,2024-09-12 23:00:00,985,5.37,4.85,7.62,18.61,34.4,False,False
PALMIRA,CVC,O3,3.5375,-76.300833333333,965,ug/m3,24415,24415,0.0,24415,2020-01-17 14:00:00,2024-12-04 23:00:00,1783,18.08,10.0,40.1,109.5,172.9,False,False
ACOPI,CVC,O3,3.501678,-76.507554,950,ug/m3,16091,16091,0.0,16091,2020-07-01 01:00:00,2024-12-31 23:00:00,1644,19.71,12.0,45.3,111.82,194.9,True,True
MOVIL,CVC,O3,3.510503,-76.308111,1050,ug/m3,15110,15110,0.0,15110,2020-07-01 00:00:00,2022-10-28 23:00:00,849,11.69,7.4,33.3,47.2,50.9,False,False
COMPARTIR,DAGMA,O3,3.42826,-76.466584,952,ug/m3,7507,7507,0.0,7507,2020-01-01 00:00:00,2022-12-31 23:00:00,1095,12.14,8.51,33.34,69.48,81.7,True,True
BASE AÉREA,DAGMA,O3,3.457128,-76.502303,956,ug/m3,7310,7310,0.0,7310,2020-01-21 15:00:00,2023-05-15 03:00:00,1209,6.08,2.28,19.74,47.62,58.27,True,True
ERA OBRERO,DAGMA,O3,3.457317,-76.506539,968,ug/m3,6939,6939,0.0,6939,2020-01-01 00:00:00,2022-10-25 23:00:00,1028,8.97,4.77,23.23,64.6,79.89,True,True
UNIVERSIDAD DEL VALLE,DAGMA,O3,3.377911,-76.533811,985,ug/m3,6350,6350,0.0,6350,2020-05-03 06:00:00,2023-04-14 08:00:00,1076,9.16,7.37,20.62,62.25,120.58,True,True
LA FLORA,DAGMA,O3,3.488218,-76.518058,959,ug/m3,5902,5902,0.0,5902,2020-01-01 00:00:00,2022-09-14 10:00:00,987,13.48,5.11,39.3,83.44,102.95,True,True
PANCE,DAGMA,O3,3.304517,-76.531252,978,ug/m3,5861,5861,0.0,5861,2020-01-01 00:00:00,2022-10-27 23:00:00,1030,14.07,4.22,54.03,105.65,132.14,True,True
TRANSITORIA-NAVARRO,DAGMA,O3,3.417183,-76.49496,954,ug/m3,4138,4138,0.0,4138,2020-01-28 11:00:00,2020-12-07 08:00:00,313,21.85,12.96,64.29,93.51,97.68,True,True
ACOPI,CVC,SO2,3.501678,-76.507554,950,ug/m3,12035,12035,0.0,12035,2022-07-18 00:00:00,2024-12-31 23:00:00,897,13.12,6.45,31.36,100.89,241.19,True,True
LA ERMITA,DAGMA,SO2,3.455514,-76.530978,994,ug/m3,8627,8627,0.0,8627,2020-01-01 00:00:00,2022-10-25 23:00:00,1028,3.27,3.19,6.79,10.79,16.03,True,True
BASE AÉREA,DAGMA,SO2,3.457128,-76.502303,956,ug/m3,7770,7770,0.0,7770,2020-01-07 12:00:00,2023-09-14 23:00:00,1346,4.57,4.45,9.84,22.75,28.57,True,True
PALMIRA,CVC,SO2,3.5375,-76.300833333333,965,ug/m3,5634,5634,0.0,5634,2024-02-05 15:00:00,2024-12-31 23:00:00,330,8.31,3.8,24.0,49.07,77.6,False,False
CAÑAVERALEJO,DAGMA,SO2,3.416366,-76.549613,975,ug/m3,5053,5053,0.0,5053,2020-01-01 00:00:00,2022-06-20 13:00:00,901,0.87,0.0,3.01,3.85,4.24,True,True
MOVIL,CVC,SO2,3.510503,-76.308111,1050,ug/m3,4902,4902,0.0,4902,2020-11-01 00:00:00,2021-07-20 23:00:00,261,1.23,1.0,2.4,3.7,4.0,False,False
LA FLORA,DAGMA,SO2,3.488218,-76.518058,959,ug/m3,4165,4165,0.0,4165,2020-01-01 00:00:00,2020-11-22 08:00:00,326,4.96,3.93,10.79,16.48,18.75,True,True
TRANSITORIA-NAVARRO,DAGMA,SO2,3.417183,-76.49496,954,ug/m3,3297,3297,0.0,3297,2020-04-26 15:00:00,2020-11-22 10:00:00,209,6.96,6.68,10.3,13.43,14.03,True,True
