estacion,contaminante,horas_esperadas,horas_observadas,pct_perdido
PALMIRA,NO2,23664,1080,95.44
ACOPI,NO2,30336,6246,79.41
CAÑAVERALEJO,SO2,21638,5053,76.65
PANCE,O3,24744,5861,76.31
BASE AÉREA,SO2,32316,7770,75.96
UNIVERSIDAD DEL VALLE,O3,25827,6350,75.41
LA FLORA,O3,23699,5902,75.1
BASE AÉREA,O3,29029,7310,74.82
ERA OBRERO,O3,24696,6939,71.9
COMPARTIR,O3,26304,7507,71.46
LA ERMITA,SO2,24696,8627,65.07
ACOPI,O3,39479,16091,59.24
LA FLORA,SO2,7833,4165,46.83
TRANSITORIA-NAVARRO,O3,7534,4138,45.08
ACOPI,SO2,21552,12035,44.16
PALMIRA,O3,42802,24415,42.96
MOVIL,NO2,10814,6170,42.94
TRANSITORIA-NAVARRO,SO2,5036,3297,34.53
PALMIRA,SO2,7929,5634,28.94
MOVIL,O3,20400,15110,25.93
MOVIL,SO2,6288,4902,22.04
