estacion,cluster,pc1,pc2
ACOPI,0,0.5312730496282004,-0.7527782410641884
BASE AÉREA,1,-2.1686605866323534,0.7380245190827276
CAÑAVERALEJO,1,-3.304820061072419,-1.7704259455797493
COMPARTIR,0,3.303998191984558,0.8028989399287526
ERA OBRERO,1,-0.7410943998247947,0.6854845405291132
ESCUELA_ARGENTINA,0,1.472090834616714,-0.796378622952527
LA ERMITA,1,-3.166814897340558,0.2220733230007364
LA FLORA,1,-1.613309001294133,0.17243444736949598
LA_ERMITA,1,-2.5841522367394543,-2.12249052537747
LA_FLORA,0,0.8117249868933017,-0.77232970022187
MOVIL,1,-1.5327088016453119,2.3295710759003914
PALMIRA,0,0.4914007020803041,2.821151935952609
PANCE,0,5.833333296111363,-0.533642175395878
TRANSITORIA-NAVARRO,0,0.3520399632645896,0.198653079071213
UNIVALLE,0,3.350148739410466,-1.080260815773
UNIVERSIDAD DEL VALLE,1,-1.0344497794404688,-0.14198583447035693
