contaminante,estacion,cuadrante,p_sim,significativo
SO2,ACOPI,HL,0.238,False
SO2,BASE AÉREA,HH,0.171,False
SO2,CAÑAVERALEJO,LL,0.307,False
SO2,LA ERMITA,LH,0.427,False
SO2,LA FLORA,LH,0.13,False
SO2,MOVIL,LH,0.001,True
SO2,PALMIRA,HH,0.336,False
SO2,TRANSITORIA-NAVARRO,HL,0.168,False
O3,ACOPI,HL,0.057,False
O3,BASE AÉREA,LH,0.12,False
O3,COMPARTIR,LL,0.234,False
O3,ERA OBRERO,LH,0.305,False
O3,LA FLORA,LH,0.298,False
O3,MOVIL,LH,0.334,False
O3,PALMIRA,HL,0.493,False
O3,PANCE,LL,0.44,False
O3,TRANSITORIA-NAVARRO,HL,0.022,True
O3,UNIVERSIDAD DEL VALLE,LH,0.453,False
