estacion,contaminante,fuente,lat,lon,n,media,mediana,std,p5,p95,max,pct_cero,fecha_inicio,fecha_fin
ACOPI,NO2,S5P_pseudo,3.50168,-76.50755,719,8.73,8.57,1.04,7.25,10.64,13.34,0.0,2020-01-02,2024-12-19
ACOPI,NO2,SISAIRE,3.50168,-76.50755,7681,9.59,8.42,7.88,1.24,23.0,119.8,0.8,2020-11-01,2024-04-17
BASE_AEREA,NO2,S5P_pseudo,3.4429,-76.5222,734,7.48,7.3,0.99,6.17,9.37,12.73,0.0,2020-01-02,2024-12-25
CANAVERALEJO,NO2,S5P_pseudo,3.43,-76.54,672,7.63,7.46,1.07,6.18,9.64,12.92,0.0,2020-01-02,2024-12-25
COMPARTIR,NO2,S5P_pseudo,3.368,-76.548,756,7.03,6.92,0.82,5.97,8.46,13.33,0.0,2020-01-01,2024-12-25
ERA_OBRERO,NO2,S5P_pseudo,3.461,-76.521,719,7.64,7.48,1.04,6.16,9.56,12.26,0.0,2020-01-02,2024-12-19
ESCUELA_ARGENTINA,NO2,DAGMA_portal,3.45732,-76.50654,11414,34.06,31.06,22.93,1.2,75.74,187.4,0.0,2010-01-28,2020-01-01
LA_ERMITA,NO2,S5P_pseudo,3.443,-76.535,672,7.63,7.46,1.07,6.18,9.64,12.92,0.0,2020-01-02,2024-12-25
LA_FLORA,NO2,DAGMA_portal,3.48822,-76.51806,21140,25.56,23.63,11.85,9.66,48.05,99.55,0.0,2010-05-06,2020-01-01
LA_FLORA,NO2,S5P_pseudo,3.418,-76.53,672,7.63,7.46,1.07,6.18,9.64,12.92,0.0,2020-01-02,2024-12-25
MOVIL,NO2,S5P_pseudo,3.4532,-76.5318,672,6.73,6.57,1.07,5.29,8.74,12.02,0.0,2020-01-02,2024-12-25
MOVIL,NO2,SISAIRE,3.5105,-76.30811,6619,7.09,6.61,2.94,3.05,12.78,16.6,0.0,2021-10-07,2022-12-31
PANCE,NO2,S5P_pseudo,3.364,-76.56,756,7.03,6.92,0.82,5.97,8.46,13.33,0.0,2020-01-01,2024-12-25
TRANSITORIA_NAVARRO,NO2,S5P_pseudo,3.389,-76.51,794,6.84,6.77,0.69,5.96,8.06,10.88,0.0,2020-01-01,2024-12-25
UNIVALLE,NO2,DAGMA_portal,3.37791,-76.53381,40295,13.7,11.9,9.69,0.78,32.3,82.7,2.7,2013-03-01,2020-01-01
UNIVERSIDAD_DEL_VALLE,NO2,S5P_pseudo,3.374,-76.535,756,7.03,6.92,0.82,5.97,8.46,13.33,0.0,2020-01-01,2024-12-25
ACOPI,O3,SISAIRE,3.50168,-76.50755,19283,18.84,12.4,21.37,0.9,64.19,194.9,1.0,2020-07-01,2024-12-31
BASE AÉREA,O3,SISAIRE,3.45713,-76.5023,6455,5.07,3.5,5.79,0.0,15.67,55.39,7.9,2020-01-21,2023-05-15
COMPARTIR,O3,DAGMA_portal,3.42826,-76.46658,33233,26.32,18.05,21.84,5.0,72.87,152.0,0.0,2014-01-30,2018-12-27
COMPARTIR,O3,SISAIRE,3.42826,-76.46658,8872,9.15,8.97,7.56,0.01,21.33,79.95,3.1,2020-01-01,2022-12-31
ERA OBRERO,O3,SISAIRE,3.45732,-76.50654,8808,9.06,6.5,9.54,0.0,26.64,79.5,6.5,2020-01-01,2022-10-25
ESCUELA_ARGENTINA,O3,DAGMA_portal,3.45732,-76.50654,26514,14.6,8.6,16.59,0.9,50.31,135.87,0.1,2010-01-28,2020-01-01
LA FLORA,O3,SISAIRE,3.48822,-76.51806,6931,8.68,5.0,9.6,0.39,28.37,96.04,0.1,2020-01-01,2022-09-14
LA_FLORA,O3,DAGMA_portal,3.48822,-76.51806,33316,13.03,6.8,15.59,0.6,44.5,146.6,1.8,2010-05-06,2020-01-01
MOVIL,O3,SISAIRE,3.5105,-76.30811,16555,10.88,8.6,9.29,0.4,30.41,50.6,2.0,2020-07-01,2022-10-28
PANCE,O3,DAGMA_portal,3.30452,-76.53125,36501,31.15,19.04,31.15,2.12,96.59,198.4,1.2,2013-02-27,2018-12-22
PANCE,O3,SISAIRE,3.30452,-76.53125,6309,9.17,4.6,14.53,0.0,39.74,130.79,10.5,2020-01-01,2022-10-27
TRANSITORIA-NAVARRO,O3,SISAIRE,3.41718,-76.49496,4869,18.12,14.58,15.33,1.69,49.98,94.07,0.1,2020-01-28,2020-12-07
UNIVALLE,O3,DAGMA_portal,3.37791,-76.53381,47044,30.11,19.64,27.5,4.6,90.27,193.1,0.5,2013-03-01,2020-01-01
UNIVERSIDAD DEL VALLE,O3,SISAIRE,3.37791,-76.53381,6843,8.04,7.67,8.83,0.01,21.87,88.86,4.2,2020-05-03,2023-04-14
ACOPI,SO2,SISAIRE,3.50168,-76.50755,14350,11.32,6.7,15.04,0.0,40.9,207.9,11.7,2022-07-18,2024-12-31
BASE AÉREA,SO2,SISAIRE,3.45713,-76.5023,7918,5.73,5.16,4.37,0.0,12.05,25.88,10.4,2020-01-07,2023-09-14
CAÑAVERALEJO,SO2,DAGMA_portal,3.41637,-76.54961,16805,1.87,1.15,2.28,0.0,6.42,22.25,8.8,2014-06-27,2018-12-31
CAÑAVERALEJO,SO2,SISAIRE,3.41637,-76.54961,2197,2.26,2.7,1.14,0.0,3.59,4.22,7.6,2020-01-01,2022-06-20
ESCUELA_ARGENTINA,SO2,DAGMA_portal,3.45732,-76.50654,14832,10.74,9.02,7.78,1.78,24.98,74.91,0.0,2010-01-28,2020-01-01
LA ERMITA,SO2,SISAIRE,3.45551,-76.53098,8468,4.23,4.03,2.29,0.84,8.28,15.55,1.7,2020-01-01,2022-10-25
LA FLORA,SO2,SISAIRE,3.48822,-76.51806,5311,5.07,4.14,3.95,0.34,12.93,18.75,0.2,2020-01-01,2020-11-22
LA_ERMITA,SO2,DAGMA_portal,3.45551,-76.53098,21193,5.24,3.5,5.23,1.0,15.28,64.54,0.0,2013-08-29,2018-12-31
LA_FLORA,SO2,DAGMA_portal,3.48822,-76.51806,12492,15.0,11.49,12.4,3.21,38.84,166.54,0.0,2010-05-06,2020-01-01
MOVIL,SO2,SISAIRE,3.5105,-76.30811,5923,1.25,1.1,0.73,0.3,2.7,4.0,0.1,2020-11-01,2021-07-20
TRANSITORIA-NAVARRO,SO2,SISAIRE,3.41718,-76.49496,3761,7.05,6.83,2.27,3.43,11.34,14.03,0.0,2020-04-26,2020-11-22
