estacion,contaminante,n_dias,tendencia,mk_p,sen_slope,sen_slope_anual,n_cambios_estructurales,primer_cambio
ESCUELA ARGENTINA,NO2,485,decreasing,0.0101,-0.0132,-4.835,1,2011-05-31 00:00:00
UNIVERSIDAD DEL VALLE,NO2,1778,decreasing,0.0,-0.0025,-0.9,4,2014-04-18 00:00:00
ACOPI,NO2,334,increasing,0.0,0.025,9.136,1,2023-04-22 00:00:00
MOVIL,NO2,284,increasing,0.0,0.0132,4.819,1,2022-02-08 00:00:00
LA FLORA,NO2,903,no trend,0.5607,-0.0004,-0.158,0,
COMPARTIR,O3,1906,decreasing,0.0,-0.0124,-4.525,5,2015-04-01 00:00:00
ESCUELA ARGENTINA,O3,1122,decreasing,0.0022,-0.0022,-0.815,2,2017-06-30 00:00:00
LA FLORA,O3,1819,decreasing,0.0,-0.0019,-0.676,2,2019-07-03 00:00:00
PANCE,O3,1949,decreasing,0.0,-0.0168,-6.12,4,2014-07-21 00:00:00
TRANSITORIA-NAVARRO,O3,219,decreasing,0.0,-0.0406,-14.82,0,
UNIVERSIDAD DEL VALLE,O3,2430,decreasing,0.0,-0.0108,-3.931,4,2016-03-22 00:00:00
ACOPI,O3,863,increasing,0.0,0.0113,4.11,2,2020-12-18 00:00:00
BASE AÉREA,O3,362,increasing,0.0,0.0099,3.602,1,2021-08-23 00:00:00
ERA OBRERO,O3,419,increasing,0.016,0.0044,1.619,2,2020-06-22 00:00:00
MOVIL,O3,730,increasing,0.0,0.0042,1.55,0,
PALMIRA,O3,1177,increasing,0.0,0.017,6.212,2,2022-05-20 00:00:00
CAÑAVERALEJO,SO2,862,decreasing,0.0,-0.0033,-1.195,4,2016-09-16 00:00:00
LA ERMITA,SO2,1303,decreasing,0.0,-0.002,-0.726,4,2016-02-19 00:00:00
LA FLORA,SO2,771,decreasing,0.0,-0.0091,-3.331,2,2011-02-22 00:00:00
ACOPI,SO2,645,increasing,0.0,0.0226,8.272,1,2024-06-01 00:00:00
BASE AÉREA,SO2,396,increasing,0.0,0.0073,2.662,2,2020-07-16 00:00:00
MOVIL,SO2,250,increasing,0.0,0.003,1.108,1,2021-06-16 00:00:00
ESCUELA ARGENTINA,SO2,642,no trend,0.9307,-0.0001,-0.033,0,
PALMIRA,SO2,252,no trend,0.0582,0.007,2.546,0,
